date,price,open,high,low,change
"Apr 22, 2021",2564.96,2564.96,2564.96,2564.96,0.0002
"Apr 20, 2021",2564.46,2564.46,2564.46,2564.46,0.0005
"Apr 19, 2021",2563.16,2563.16,2563.16,2563.16,0.0008
"Apr 15, 2021",2561.14,2561.14,2561.14,2561.14,-0.0002
"Apr 12, 2021",2561.58,2561.58,2561.58,2561.58,0.0003
"Apr 09, 2021",2560.8,2560.8,2560.8,2560.8,0.0001
"Apr 08, 2021",2560.54,2560.54,2560.54,2560.54,0.0003
"Apr 07, 2021",2559.76,2559.76,2559.76,2559.76,-0.0001
"Apr 06, 2021",2559.9,2559.9,2559.9,2559.9,0.0008
"Apr 05, 2021",2557.85,2557.85,2557.85,2557.85,0.0015
"Mar 31, 2021",2554.01,2554.01,2554.01,2554.01,0.0003
"Mar 30, 2021",2553.23,2553.23,2553.23,2553.23,0.0009
"Mar 26, 2021",2551.04,2551.04,2551.04,2551.04,0.0007
"Mar 25, 2021",2549.21,2549.21,2549.21,2549.21,0.0003
"Mar 24, 2021",2548.49,2548.49,2548.49,2548.49,0.0008
"Mar 23, 2021",2546.56,2546.56,2546.56,2546.56,0.0022
"Mar 22, 2021",2540.96,2540.96,2540.96,2540.96,0.0007
"Mar 19, 2021",2539.1,2539.1,2539.1,2539.1,0.0018
"Mar 18, 2021",2534.62,2534.62,2534.62,2534.62,0.0007
"Mar 17, 2021",2532.81,2532.81,2532.81,2532.81,-0.0001
"Mar 16, 2021",2533.1,2533.1,2533.1,2533.1,-0.0007
"Mar 15, 2021",2534.85,2534.85,2534.85,2534.85,-0.0042
"Mar 12, 2021",2545.57,2545.57,2545.57,2545.57,-0.0003
"Mar 10, 2021",2546.33,2546.33,2546.33,2546.33,0
"Mar 09, 2021",2546.35,2546.35,2546.35,2546.35,0.0001
"Mar 08, 2021",2546.09,2546.09,2546.09,2546.09,0.0002
"Mar 05, 2021",2545.56,2545.56,2545.56,2545.56,-0.0002
"Mar 04, 2021",2546.04,2546.04,2546.04,2546.04,0.0002
"Mar 03, 2021",2545.57,2545.57,2545.57,2545.57,0.0001
"Mar 02, 2021",2545.35,2545.35,2545.35,2545.35,0.0008
"Mar 01, 2021",2543.23,2543.23,2543.23,2543.23,0.0004
"Feb 26, 2021",2542.32,2542.32,2542.32,2542.32,-0.0003
"Feb 25, 2021",2543.09,2543.09,2543.09,2543.09,0.0002
"Feb 24, 2021",2542.62,2542.62,2542.62,2542.62,0
"Feb 23, 2021",2542.68,2542.68,2542.68,2542.68,-0.0003
"Feb 22, 2021",2543.5,2543.5,2543.5,2543.5,-0.0014
"Feb 18, 2021",2547.01,2547.01,2547.01,2547.01,-0.0005
"Feb 17, 2021",2548.4,2548.4,2548.4,2548.4,-0.0001
"Feb 16, 2021",2548.63,2548.63,2548.63,2548.63,0.0003
"Feb 15, 2021",2547.89,2547.89,2547.89,2547.89,0.0004
"Feb 12, 2021",2546.87,2546.87,2546.87,2546.87,0.0003
"Feb 11, 2021",2546.04,2546.04,2546.04,2546.04,0.001
"Feb 10, 2021",2543.42,2543.42,2543.42,2543.42,-0.0001
"Feb 09, 2021",2543.64,2543.64,2543.64,2543.64,-0.0007
"Feb 08, 2021",2545.43,2545.43,2545.43,2545.43,0.0005
"Feb 05, 2021",2544.09,2544.09,2544.09,2544.09,-0.0012
"Feb 04, 2021",2547.06,2547.06,2547.06,2547.06,-0.0001
"Feb 03, 2021",2547.23,2547.23,2547.23,2547.23,0.0007
"Feb 02, 2021",2545.38,2545.38,2545.38,2545.38,-0.0024
"Feb 01, 2021",2551.57,2551.57,2551.57,2551.57,-0.0034
"Jan 29, 2021",2560.37,2560.37,2560.37,2560.37,0
"Jan 28, 2021",2560.45,2560.45,2560.45,2560.45,0.0004
"Jan 27, 2021",2559.54,2559.54,2559.54,2559.54,0.0003
"Jan 25, 2021",2558.83,2558.83,2558.83,2558.83,0.0003
"Jan 22, 2021",2558.03,2558.03,2558.03,2558.03,-0.0002
"Jan 21, 2021",2558.5,2558.5,2558.5,2558.5,0.0001
"Jan 20, 2021",2558.21,2558.21,2558.21,2558.21,0.0006
"Jan 19, 2021",2556.57,2556.57,2556.57,2556.57,0.0002
