date,price,open,high,low,vol,change
13-05-2008,147.7,148.64,149.17,145.68,5.24M,0.01
12-05-2008,146.48,142.32,147.36,142.32,2.62M,0.01
09-05-2008,144.93,155.89,159.64,144,6.20M,-0.04
08-05-2008,150.5,149.67,152,144.9,5.89M,-0.02
07-05-2008,153.85,153.61,154.86,151.2,3.44M,0.00
06-05-2008,153.94,152.16,154.66,152.16,4.31M,0.01
05-05-2008,152.52,153.66,155.54,151.28,4.20M,-0.01
02-05-2008,153.7,154.16,157.34,152.86,5.98M,0.01
30-04-2008,152.08,154.47,154.47,150.17,8.09M,-0.02
29-04-2008,154.44,151.56,155.55,149.81,5.92M,0.02
28-04-2008,152,149.71,154.56,149.71,11.56M,0.02
25-04-2008,149.71,145.15,150.47,144.73,5.45M,0.04
24-04-2008,143.94,146.67,146.67,140.5,12.21M,0.00
23-04-2008,144.21,150.54,150.54,143.25,5.48M,-0.04
22-04-2008,150.49,144.68,151.31,142.5,7.00M,0.03
21-04-2008,145.75,140.19,147.12,137.89,8.98M,0.04
17-04-2008,139.81,131.51,141.19,131.51,18.13M,0.07
16-04-2008,130.54,132.8,133.1,129.8,5.52M,0.00
15-04-2008,130.04,130.74,133.07,127.25,8.97M,-0.02
11-04-2008,132.71,134.6,135.2,129.91,4.18M,0.00
10-04-2008,132.36,137.22,137.22,131.82,5.42M,-0.04
09-04-2008,137.68,130.61,139.59,129.32,7.87M,0.05
08-04-2008,130.56,132.21,132.21,128.72,7.35M,0.00
07-04-2008,130.05,128.51,131.97,127.54,6.05M,0.01
04-04-2008,129.1,131.71,131.71,128.27,11.65M,-0.03
03-04-2008,132.82,132.21,136.55,130.22,5.76M,0.00
02-04-2008,132.51,137.69,139.79,130.51,6.71M,0.01
01-04-2008,130.66,131.71,133.7,126.72,7.57M,-0.02
31-03-2008,132.83,139.69,139.69,128.74,11.80M,-0.05
28-03-2008,140.39,142.18,142.31,136.3,6.07M,-0.02
27-03-2008,143,139.81,146.39,138.29,8.58M,0.00
26-03-2008,143.6,139.81,145.34,139.35,12.33M,0.02
