date,price,open,high,low,vol,change
05-01-2022,153.7,153,154.3,152.1,8.45M,0.00
04-01-2022,153,156,156.65,152.35,13.74M,-0.01
03-01-2022,155.3,147.25,155.95,147,29.49M,0.06
31-12-2021,146.05,145.95,147.55,145.35,5.32M,0.00
30-12-2021,146.2,146.75,149,143.9,24.78M,0.00
29-12-2021,146.75,149.25,149.25,146.3,4.22M,-0.01
28-12-2021,148.85,146.25,149.25,146.25,4.91M,0.02
27-12-2021,146.05,145,146.5,144.1,3.53M,0.00
24-12-2021,145.9,148,148.15,145.4,4.57M,-0.01
23-12-2021,147.7,146.25,147.95,146,4.86M,0.02
22-12-2021,145.35,145.45,149.4,144.45,6.80M,0.00
21-12-2021,144.65,141.8,146,141.4,8.10M,0.03
20-12-2021,140.7,145.35,145.65,139.15,8.86M,-0.04
17-12-2021,146.45,149.1,149.4,146,8.76M,-0.02
16-12-2021,149.75,148.1,150.1,147.55,7.54M,0.01
15-12-2021,148.1,149.15,150.6,147.95,5.41M,-0.01
14-12-2021,148.9,149,149.75,146.75,8.47M,0.00
13-12-2021,149,152.8,152.8,147.95,9.89M,-0.02
10-12-2021,151.3,152.65,153.75,150.9,7.42M,-0.01
09-12-2021,152.65,151.75,153.5,150.65,9.42M,0.01
08-12-2021,150.9,151.25,151.75,150.05,7.31M,0.00
07-12-2021,150.65,150.1,150.95,149.15,7.87M,0.01
06-12-2021,148.55,152,152.45,148.1,24.19M,-0.07
03-12-2021,159.75,159,160.7,158.25,20.41M,0.00
02-12-2021,159.3,156.9,159.55,155.15,15.65M,0.02
01-12-2021,155.55,153.6,156.25,152.55,16.28M,0.02
30-11-2021,152,158.5,158.5,151.35,56.64M,-0.01
29-11-2021,154.25,155.9,156.65,151.9,18.18M,-0.01
26-11-2021,155.9,157.75,159.4,155.35,11.83M,-0.02
25-11-2021,158.55,161.5,162.8,156,22.40M,0.00
24-11-2021,159.1,158.3,161.65,155.6,18.81M,0.02
23-11-2021,156.2,150,156.75,150,13.31M,0.04
22-11-2021,150.55,152.2,152.9,149.1,11.52M,-0.02
18-11-2021,153.4,156.05,157.75,153,12.98M,-0.02
17-11-2021,156.1,159.05,159.25,155.7,7.48M,-0.02
16-11-2021,159.05,161,161.65,158.6,8.51M,0.00
15-11-2021,159.75,164.25,167.6,159.5,19.40M,-0.04
12-11-2021,166.95,168.85,168.85,165.7,7.03M,0.00
11-11-2021,167,165.9,167.65,165.2,6.45M,0.00
10-11-2021,166.7,169.9,170.85,166.45,9.21M,-0.02
09-11-2021,170.5,172.05,172.4,169.6,5.72M,-0.01
08-11-2021,171.7,171,174.2,168.5,8.76M,0.01
04-11-2021,170.7,171.2,171.4,169.75,973.26K,0.01
03-11-2021,169.75,168.2,171.1,167.35,8.97M,0.00
02-11-2021,169.2,171.45,173.75,168.35,14.28M,-0.01
01-11-2021,170.75,165,171.95,163.8,13.59M,0.04
29-10-2021,164.45,165,169.5,163.3,14.83M,-0.01
28-10-2021,166.55,173,173,165.95,24.51M,-0.04
27-10-2021,173.6,175.7,176.65,172.8,9.54M,-0.01
26-10-2021,175.05,173,176,171.75,11.60M,0.01
25-10-2021,174.1,176.25,177.25,173,11.74M,-0.01
22-10-2021,175.9,183.4,184.3,175.3,13.60M,-0.04
21-10-2021,182.4,182,183,178.9,15.59M,0.01
20-10-2021,180.5,182.7,183.4,177.4,15.92M,-0.02
19-10-2021,184.5,187.3,188.95,183.6,17.40M,0.00
18-10-2021,185.3,184.8,187.75,183.4,15.47M,0.01
14-10-2021,183.8,190,191.8,182.3,29.54M,-0.03
13-10-2021,190.05,194,194.55,189.35,17.38M,-0.02
12-10-2021,193.3,199.2,201,191.25,25.22M,-0.02
11-10-2021,196.85,192,199.7,191.65,34.95M,0.04
08-10-2021,188.45,191.1,191.7,184.1,28.98M,-0.01
07-10-2021,190.7,194.75,194.95,189.25,16.52M,-0.01
06-10-2021,192.85,200,203.8,191.7,41.93M,-0.03
05-10-2021,197.95,191,198.9,190.4,42.36M,0.04
04-10-2021,189.95,192.5,193.35,188.3,23.34M,0.01
01-10-2021,188.7,185.4,189.9,182.4,25.49M,0.02
30-09-2021,185.1,187.6,191.5,184.1,48.96M,0.00
29-09-2021,185.7,174.5,197,172.8,100.99M,0.06
28-09-2021,174.55,168.5,176.3,168.15,41.55M,0.04
27-09-2021,167.05,167,169.15,165.35,9.10M,0.01
24-09-2021,166.1,168.1,169.45,162.9,17.26M,-0.01
23-09-2021,167.35,163.75,170,163.1,31.40M,0.03
22-09-2021,162.1,157.25,162.5,155,18.86M,0.04
21-09-2021,156.4,155.7,158,153.45,13.65M,0.01
20-09-2021,154.2,155.9,157.55,152.8,12.54M,-0.02
17-09-2021,156.7,162.7,163.3,155.4,17.32M,-0.03
16-09-2021,162.3,162.15,163,157.55,18.44M,0.01
15-09-2021,161.05,155.5,162.25,154.25,24.59M,0.04
14-09-2021,154.7,155.35,155.5,153.35,8.80M,0.00
13-09-2021,154.6,149.6,155.9,149.3,35.67M,0.04
09-09-2021,148.65,149.15,150.95,148,9.52M,0.00
08-09-2021,149.15,147.35,149.85,146.3,7.87M,0.01
07-09-2021,147.2,147,148.1,145.55,9.48M,0.01
06-09-2021,146.35,147.8,147.85,144.3,9.71M,0.00
03-09-2021,146.35,141.9,147.15,141.75,12.73M,0.03
02-09-2021,141.6,143.8,143.8,141.2,7.79M,-0.02
01-09-2021,144.2,146.6,146.65,143.9,8.42M,-0.01
31-08-2021,145.85,143.6,146.15,143.25,14.30M,0.02
30-08-2021,143.6,138.6,143.95,138.6,11.33M,0.04
27-08-2021,138.55,137.9,139.3,137.05,4.42M,0.01
26-08-2021,137.3,138.85,139.4,136.35,6.85M,-0.01
25-08-2021,138.85,136.5,139.15,136.5,7.82M,0.02
24-08-2021,136.2,134.35,136.9,134,7.45M,0.02
23-08-2021,133.95,136.3,136.4,132.75,7.77M,-0.01
20-08-2021,135.6,137.5,138.05,135,8.88M,-0.02
